,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Busselton,44,AU,1551486333,43,-33.64,115.35,62.01,7.16
1,Saldanha,8,PT,1551486555,89,41.42,-6.55,43.4,6.15
2,Nanortalik,68,GL,1551486556,90,60.14,-45.24,32.47,12.64
3,Tadine,88,NC,1551486556,93,-21.55,167.88,80.21,26.73
4,Goderich,24,CA,1551486532,71,43.74,-81.71,25.0,1.68
5,Bandarbeyla,24,SO,1551486072,100,9.49,50.81,76.61,7.94
6,West Wendover,1,US,1551484560,41,40.74,-114.07,42.8,5.82
7,Butaritari,56,KI,1551485965,100,3.07,172.79,82.15,15.77
8,Chokurdakh,48,RU,1551485985,33,70.62,147.9,-22.39,5.37
9,Barrow,8,AR,1551485994,42,-38.31,-60.23,67.7,17.56
10,Castro,20,CL,1551484800,76,-42.48,-73.76,55.4,8.05
11,Bredasdorp,44,ZA,1551485851,82,-34.53,20.04,60.8,5.82
12,Mataura,0,NZ,1551486005,76,-46.19,168.86,60.01,10.0
13,Half Moon Bay,75,US,1551486558,71,37.46,-122.43,59.0,3.36
14,Vaini,0,IN,1551486562,71,15.34,74.49,56.05,2.35
15,Tasiilaq,48,GL,1551484200,67,65.61,-37.64,19.4,29.97
16,Platanos,1,GR,1551486358,95,35.47,23.6,57.0,14.99
17,Nizwa,0,OM,1551486564,70,22.93,57.53,54.2,2.91
18,Kieta,20,PG,1551486565,98,-6.22,155.63,82.06,3.13
19,Khatanga,8,RU,1551486566,26,71.98,102.47,-17.94,3.47
20,Yellowknife,75,CA,1551486168,52,62.45,-114.38,-7.01,6.93
21,Hobyo,80,SO,1551486568,93,5.35,48.53,76.66,10.18
22,Slave Lake,1,CA,1551484800,53,55.28,-114.77,-5.81,5.82
23,Clyde River,5,CA,1551484800,65,70.47,-68.59,3.2,12.75
24,Caravelas,36,BR,1551486573,100,-17.73,-39.27,84.08,18.01
25,Havre-Saint-Pierre,20,CA,1551484800,48,50.23,-63.6,17.6,18.34
26,Punta Arenas,75,CL,1551486190,93,-53.16,-70.91,48.2,2.24
27,Ribeira Grande,75,PT,1551481200,87,38.52,-28.7,60.8,12.75
28,East London,88,ZA,1551486578,100,-33.02,27.91,71.3,4.03
29,Yarkovo,90,RU,1551484800,85,54.81,82.6,21.2,2.24
30,Bathsheba,40,BB,1551484800,69,13.22,-59.52,78.8,24.16
31,Faanui,88,PF,1551486579,100,-16.48,-151.75,82.06,6.15
32,Pundaguitan,0,PH,1551486579,99,6.37,126.17,79.85,8.16
33,Rikitea,64,PF,1551486509,100,-23.12,-134.97,77.83,12.19
34,Avarua,76,CK,1551484800,83,-21.21,-159.78,82.4,5.82
35,Valente,88,BR,1551486580,47,-11.41,-39.46,84.35,9.51
36,Puerto Escondido,40,MX,1551483660,69,15.86,-97.07,82.4,10.29
37,Ayan,44,TR,1551486580,87,40.67,33.6,29.5,4.25
38,Kabare,32,RW,1551486582,98,-1.65,29.38,58.75,4.36
39,Mar del Plata,32,AR,1551486394,68,-46.43,-67.52,61.81,6.04
40,Hermanus,0,ZA,1551485851,95,-34.42,19.24,66.0,1.01
41,Reyes,32,BO,1551486582,80,-14.3,-67.34,79.31,4.59
42,Qaanaaq,0,GL,1551486582,71,77.48,-69.36,-17.04,4.59
43,Saint-Philippe,1,CA,1551486582,62,45.36,-73.48,21.2,2.46
44,Mandalgovi,0,MN,1551486585,66,45.76,106.27,14.38,6.38
45,San Patricio,0,PY,1551486585,76,-26.98,-56.83,68.78,2.68
46,Westerland,90,NL,1551486561,80,52.89,4.93,42.01,3.36
47,Pisco,0,PE,1551481200,30,-13.71,-76.2,71.6,20.8
48,Gloucester,90,GB,1551486548,100,51.87,-2.25,46.99,10.29
49,Provideniya,0,RU,1551486586,96,64.42,-173.23,27.25,14.54
50,Manokwari,8,ID,1551486586,98,-0.87,134.08,81.2,1.68
51,Little Current,1,CA,1551485929,79,45.98,-81.93,19.4,3.36
52,Alofi,68,NU,1551484800,74,-19.06,-169.92,86.0,8.05
53,San Quintin,0,PH,1551486587,68,17.54,120.52,72.11,4.03
54,Tsuruoka,20,JP,1551484800,42,38.61,139.81,46.4,13.87
55,Hobart,0,AU,1551486441,19,-42.88,147.33,93.99,10.29
56,Gweta,24,BW,1551486588,47,-20.21,25.26,75.35,6.15
57,Hervey Bay,90,AU,1551485709,73,-25.3,152.85,77.0,12.75
58,Jadu,0,LY,1551486588,78,31.95,12.03,40.25,6.6
59,Riyadh,0,SA,1551484800,37,24.63,46.72,50.0,8.05
60,Kattivakkam,20,IN,1551484800,88,13.22,80.32,77.0,8.16
61,Hamilton,40,BM,1551485922,88,32.3,-64.78,66.2,4.7
62,Port Elizabeth,90,US,1551486562,100,39.31,-74.98,39.0,11.41
63,Kaitangata,0,NZ,1551486591,74,-46.28,169.85,60.41,10.96
64,Sansepolcro,20,IT,1551486521,87,43.57,12.14,48.99,5.82
65,Apt,0,FR,1551486309,57,43.88,5.4,53.01,18.34
66,Iqaluit,40,CA,1551486165,63,63.75,-68.52,-7.01,20.8
67,Carnarvon,0,ZA,1551486594,73,-30.97,22.13,54.16,2.8
68,Victoria,75,BN,1551483000,94,5.28,115.24,77.0,3.8
69,Murray Bridge,0,AU,1551486314,17,-35.12,139.28,98.01,5.01
70,Nikolskoye,0,RU,1551485708,85,59.7,30.79,14.0,4.47
71,Freeport,20,BS,1551484800,78,26.54,-78.7,73.4,3.36
72,Bambous Virieux,40,MU,1551486539,88,-20.34,57.76,80.6,9.17
73,Chumikan,20,RU,1551486599,53,54.72,135.31,12.8,7.38
74,Aklavik,5,CA,1551484800,58,68.22,-135.01,3.2,12.75
75,Isangel,75,VU,1551484800,70,-19.55,169.27,84.2,11.41
76,Cape Town,0,ZA,1551486453,88,-33.93,18.42,66.99,3.36
77,Kirzhach,12,RU,1551486608,85,56.16,38.87,11.59,14.65
78,Tartagal,75,AR,1551481200,69,-22.52,-63.8,78.8,10.63
79,Sioux Lookout,75,CA,1551484800,60,50.1,-91.92,6.8,3.36
80,Hilo,75,US,1551486583,47,19.71,-155.08,75.2,11.41
81,Kavieng,32,PG,1551486611,100,-2.57,150.8,83.9,4.59
82,Puerto Ayora,20,EC,1551484800,70,-0.74,-90.35,84.2,9.17
83,Lundazi,68,ZM,1551486612,96,-12.29,33.17,65.36,4.81
84,Ponta do Sol,92,BR,1551486612,90,-20.63,-46.0,68.96,4.36
85,Petropavlovsk-Kamchatskiy,68,RU,1551484800,51,53.05,158.65,12.2,8.95
86,Bojnurd,75,IR,1551484800,86,37.47,57.33,39.2,2.24
87,Ushuaia,75,AR,1551484800,71,-54.81,-68.31,51.8,8.05
88,Nouadhibou,0,MR,1551484800,68,20.93,-17.03,66.2,21.92
89,Baraboo,90,US,1551486610,85,43.47,-89.74,30.2,5.82
90,Vanimo,88,PG,1551486617,100,-2.67,141.3,82.42,9.73
91,Lebu,75,ET,1551484800,51,8.96,38.73,62.6,2.24
92,Colares,40,PT,1551486609,93,38.8,-9.45,57.99,12.75
93,Esna,88,RO,1551486622,73,45.2,27.57,41.29,5.7
94,Tucumcari,1,US,1551486022,13,35.17,-103.73,69.8,9.17
95,Madang,44,PG,1551486622,98,-5.21,145.81,79.18,4.25
96,Port Alfred,32,ZA,1551486409,83,-33.59,26.89,66.99,1.01
97,Ostrovnoy,68,RU,1551486623,89,68.05,39.51,14.65,11.07
98,Hithadhoo,80,MV,1551486624,100,-0.6,73.08,82.73,8.5
99,Atuona,0,PF,1551486625,100,-9.8,-139.03,80.71,6.71
100,Miri,36,NG,1551486626,65,10.31,9.75,71.48,1.68
101,Butembo,56,CD,1551486626,98,0.12,29.29,59.78,2.35
102,Palimbang,40,PH,1551486487,73,14.9,120.78,81.0,4.7
103,Chupa,75,PE,1551484800,66,-15.11,-69.99,53.6,6.93
104,Longyearbyen,40,NO,1551484200,65,78.22,15.63,6.8,6.93
105,Valkla,20,EE,1551486424,73,59.48,25.33,24.01,8.05
106,Dikson,48,RU,1551486630,83,73.51,80.55,-2.5,22.7
107,Camara de Lobos,40,PT,1551486609,63,32.63,-16.97,62.6,10.29
108,Nhulunbuy,90,AU,1551484800,88,-12.18,136.78,77.0,6.93
109,Bonthe,8,SL,1551486632,82,7.53,-12.5,78.19,4.47
110,Talara,24,PE,1551486633,59,-4.58,-81.27,81.11,8.95
111,Kapaa,40,US,1551486209,44,22.08,-159.32,75.2,14.99
112,Sainte-Suzanne,75,CH,1551486631,100,47.51,6.77,45.0,8.05
113,Thompson,75,CA,1551484800,69,55.74,-97.86,-7.61,6.93
114,Nanzhou,40,TW,1551486606,88,22.49,120.51,73.4,5.82
115,Albany,90,US,1551486555,81,42.65,-73.75,32.0,4.36
116,Falmouth,92,GB,1551486602,100,50.16,-5.07,53.01,20.8
117,Aginskoye,0,RU,1551486637,55,51.11,114.54,10.06,3.36
118,Coquimbo,0,CL,1551484800,82,-29.95,-71.34,60.8,5.82
119,Anadyr,40,RU,1551486190,92,64.73,177.51,23.0,24.61
120,Paamiut,48,GL,1551486641,87,61.99,-49.67,31.66,0.56
121,Tyukhtet,36,RU,1551486645,80,56.54,89.31,9.7,2.8
122,Margate,0,AU,1551486630,19,-43.03,147.26,95.0,10.29
123,Lorengau,68,PG,1551486648,95,-2.02,147.27,83.81,6.71
124,Dunedin,0,NZ,1551486648,77,-45.87,170.5,61.27,3.36
125,Tevriz,76,RU,1551486649,86,57.51,72.4,19.87,7.05
126,Leningradskiy,0,RU,1551486650,77,69.38,178.42,18.83,20.02
127,Najran,5,SA,1551484800,32,17.54,44.22,68.0,4.81
128,Grindavik,90,IS,1551486255,100,63.84,-22.43,41.0,3.36
129,New Norfolk,0,AU,1551486630,19,-42.78,147.06,95.0,10.29
130,Valle de Allende,0,MX,1551486651,19,26.94,-105.39,78.95,3.91
131,Palestine,90,US,1551486318,100,31.76,-95.63,48.99,3.36
132,Alugan,92,PH,1551486652,93,12.22,125.48,77.83,11.41
133,Cidreira,76,BR,1551486654,81,-30.17,-50.22,73.01,12.53
134,Guerrero Negro,48,MX,1551486657,67,27.97,-114.04,65.41,11.41
135,Hami,0,CN,1551486658,50,42.84,93.51,22.75,5.93
136,Roros,44,NO,1551486000,63,62.57,11.38,26.6,10.29
137,Namibe,68,AO,1551486659,100,-15.19,12.15,76.66,8.72
138,Prince Rupert,1,CA,1551484800,75,54.32,-130.32,42.8,3.36
